#
# This is an automatically generated geo file
# Script: create_regular_geofile.py
#
# Draws all available cell shapes
#
# padnumber	xposition	yposition	type	optional


129	-3.54	-1.81	0	SIZE:0.82,ROTATE:0
130	-2.75	-1.81	0	SIZE:0.82,ROTATE:0
131	-1.96	-1.81	0	SIZE:0.82,ROTATE:0
132	-1.17	-1.81	0	SIZE:0.82,ROTATE:0
133	-0.38	-1.81	0	SIZE:0.82,ROTATE:0
134	+0.41	-1.81	0	SIZE:0.82,ROTATE:0
135	+1.20	-1.81	0	SIZE:0.82,ROTATE:0
136	+1.99	-1.81	0	SIZE:0.82,ROTATE:0
137	+2.78	-1.81	0	SIZE:0.82,ROTATE:0
138	+3.57	-1.81	0	SIZE:0.82,ROTATE:0
139	+4.36	-1.81	0	SIZE:0.82,ROTATE:0
140	+5.15	-1.81	44	SIZE:0.82,ROTATE:-120,TEXT_Y_OFFSET:-0.0,TEXT_X_OFFSET:-0.15
141	-4.72	-2.50	11	SIZE:0.82,ROTATE:120
142	-3.93	-2.50	4	SIZE:0.82,ROTATE:0
143	-3.94	-2.50	14	SIZE:0.35,ROTATE:0
144	-3.15	-2.50	0	SIZE:0.82,ROTATE:0
145	-2.35	-2.50	0	SIZE:0.82,ROTATE:0
146	-1.57	-2.50	0	SIZE:0.82,ROTATE:0
147	-0.78	-2.50	0	SIZE:0.82,ROTATE:0
148	+0.01	-2.50	0	SIZE:0.82,ROTATE:0
149	+0.80	-2.50	0	SIZE:0.82,ROTATE:0
150	+1.59	-2.50	0	SIZE:0.82,ROTATE:0
151	+2.38	-2.50	0	SIZE:0.82,ROTATE:0
152	+3.17	-2.50	0	SIZE:0.82,ROTATE:0
153	+3.96	-2.50	4	SIZE:0.82,ROTATE:0
154	+3.96	-2.50	14	SIZE:0.35,ROTATE:0
155	+4.75	-2.50	11	SIZE:0.82,ROTATE:-120
156	-4.33	-3.19	11	SIZE:0.82,ROTATE:120
157	-3.54	-3.19	0	SIZE:0.82,ROTATE:0
158	-2.75	-3.19	0	SIZE:0.82,ROTATE:0
159	-1.96	-3.19	0	SIZE:0.82,ROTATE:0
160	-1.17	-3.19	0	SIZE:0.82,ROTATE:0
161	-0.38	-3.19	0	SIZE:0.82,ROTATE:0
162	+0.41	-3.19	4	SIZE:0.82,ROTATE:0
163	+0.41	-3.19	14	SIZE:0.35,ROTATE:0
164	+1.20	-3.19	0	SIZE:0.82,ROTATE:0
165	+1.99	-3.19	0	SIZE:0.82,ROTATE:0
166	+2.78	-3.19	0	SIZE:0.82,ROTATE:0
167	+3.57	-3.19	0	SIZE:0.82,ROTATE:0
168	+4.36	-3.19	11	SIZE:0.82,ROTATE:-120
169	-3.93	-3.88	44	SIZE:0.82,ROTATE:120,TEXT_Y_OFFSET:+0.1,TEXT_X_OFFSET:+0.1
170	-3.14	-3.88	0	SIZE:0.82,ROTATE:0
171	-2.35	-3.88	0	SIZE:0.82,ROTATE:0
172	-1.56	-3.88	0	SIZE:0.82,ROTATE:0
173	-0.77	-3.88	0	SIZE:0.82,ROTATE:0
174	+0.01	-3.88	0	SIZE:0.82,ROTATE:0
175	+0.80	-3.88	0	SIZE:0.82,ROTATE:0
176	+1.59	-3.88	0	SIZE:0.82,ROTATE:0
177	+2.38	-3.88	0	SIZE:0.82,ROTATE:0
178	+3.17	-3.88	0	SIZE:0.82,ROTATE:0
179	+3.96	-3.88	44	SIZE:0.82,ROTATE:-120,TEXT_Y_OFFSET:-0.0,TEXT_X_OFFSET:-0.15
180	-3.54	-4.57	11	SIZE:0.82,ROTATE:120
181	-2.75	-4.57	0	SIZE:0.82,ROTATE:0
182	-1.96	-4.57	0	SIZE:0.82,ROTATE:0
183	-1.17	-4.57	0	SIZE:0.82,ROTATE:0
184	-0.38	-4.57	0	SIZE:0.82,ROTATE:0
185	+0.41	-4.57	0	SIZE:0.82,ROTATE:0
186	+1.20	-4.57	0	SIZE:0.82,ROTATE:0
187	+1.99	-4.57	0	SIZE:0.82,ROTATE:0
188	+2.78	-4.57	0	SIZE:0.82,ROTATE:0
189	+3.57	-4.57	11	SIZE:0.82,ROTATE:-120
190	-3.14	-5.26	11	SIZE:0.82,ROTATE:-120,X_CROP:0.5,ROTATE:-60
191	-2.35	-5.26	42	SIZE:0.82,ROTATE:180
192	-1.56	-5.26	43	SIZE:0.82,ROTATE:180,TEXT_Y_OFFSET:+0.17
193	-0.77	-5.26	41	SIZE:0.82,ROTATE:180
194	+0.02	-5.26	41	SIZE:0.82,ROTATE:180
195	+0.80	-5.26	41	SIZE:0.82,ROTATE:180
196	+1.59	-5.26	43	SIZE:0.82,ROTATE:180,TEXT_Y_OFFSET:+0.17
197	+2.38	-5.26	42	SIZE:0.82,ROTATE:-180,INVERT:1
198	+3.17	-5.26	11	SIZE:0.82,ROTATE:-120,X_CROP:0.5
199     +0.00   -0.20   1       SIZE:12.7,ROTATE:30,WIDTH:0.01,EDGE_SHIFT:0.6
200     +5.50   -3.90   12      SIZE:0.5
201     +5.50   -4.33   12      SIZE:0.5
202     +5.50   -4.76   12      SIZE:0.5
203     +5.50   -5.20   12      SIZE:0.5
204     +6.00   -3.90   12      SIZE:0.5
205     +6.00   -4.33   12      SIZE:0.5
206     +6.00   -4.76   12      SIZE:0.5
207     +6.00   -5.20   12      SIZE:0.5
-1	-1.96	+6.09
-2	-1.17	+6.09
-3	-0.38	+6.09
-4	+0.41	+6.09
-5	+1.20	+6.09
-6	+1.99	+6.09
-7	4.294094709047231	4.7424097914175
-8	4.689094709047231	4.058249722427793
-9	5.08409470904723	3.3740896534380864
-10	5.479094709047231	2.68992958444838
-11	5.87409470904723	2.005769515458674
-12	6.269094709047231	1.3216094464689672
-13	6.754094709047231	-1.3475902085824996
-14	6.3590947090472305	-2.0317502775722063
-15	5.964094709047231	-2.715910346561912
-16	5.569094709047231	-3.4000704155516184
-17	5.174094709047231	-4.084230484541325
-18	4.779094709047231	-4.768390553531032
-19	1.9600000000000004	-6.289999999999999
-20	1.1700000000000002	-6.289999999999998
-21	0.3800000000000008	-6.289999999999999
-22	-0.40999999999999837	-6.29
-23	-1.1999999999999988	-6.289999999999998
-24	-1.9899999999999989	-6.29
-25	-4.79409470904723	-4.742409791417499
-26	-5.18909470904723	-4.058249722427792
-27	-5.58409470904723	-3.374089653438087
-28	-5.97909470904723	-2.6899295844483815
-29	-6.374094709047229	-2.005769515458674
-30	-6.76909470904723	-1.321609446468968
-31	-6.25409470904723	1.3475902085824996
-32	-5.85909470904723	2.031750277572206
-33	-5.464094709047231	2.7159103465619117
-34	-5.069094709047231	3.400070415551618
-35	-4.67409470904723	4.084230484541324
-36	-4.279094709047231	4.768390553531031
