#
# This is an automatically generated geo file
# Script: create_regular_geofile.py
#
# Draws all available cell shapes
#
padnumber	xposition	yposition	type	optional
443	+2.68	-5.40	42	SIZE:0.55,ROTATE:-180,INVERT:1
444	+3.22	-5.40	11	SIZE:0.55,ROTATE:-120,X_CROP:0.5
445     +0.00   -0.00   1       SIZE:13.2,ROTATE:30,WIDTH:0.01,EDGE_SHIFT:0.6
446     +5.50   -3.90   12      SIZE:0.5
447     +5.50   -4.33   12      SIZE:0.5
448     +5.50   -4.76   12      SIZE:0.5
449     +5.50   -5.20   12      SIZE:0.5
450     +6.00   -3.90   12      SIZE:0.5
451     +6.00   -4.33   12      SIZE:0.5
452     +6.00   -4.76   12      SIZE:0.5
453     +6.00   -5.20   12      SIZE:0.5
-1	-2.6	+6.3
-2	-1.93	+6.3
-3	-1.26	+6.3
-4	-0.6	+6.3
-5	+0.6	+6.3
-6	+1.26	+6.3
-7	+1.93	+6.3
-8	+2.6	+6.3
-9	-5.755	-2.630
-10	-6.085	-2.058
-11	-6.420	-1.478
-12	-6.755	-0.898
-13	-4.155	-5.401
-14	-4.490	-4.821
-15	-4.825	-4.241
-16	-5.155	-3.669
-17	+5.155	-3.669
-18	+4.825	-4.241
-19	+4.490	-4.821
-20	+4.155	-5.401
-21	+6.755	-0.898
-22	+6.420	-1.478
-23	+6.085	-2.058
-24	+5.755	-2.630

